_id,OBJECTID,EVENT_ID,EVENT_DATE,EVENT_YEAR,EVENT_MONTH,EVENT_DOW,EVENT_HOUR,EVENT_TYPE,DIVISION,OCCURRENCE_CREATED,APPREHENSION_MADE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140
1,1,1254908,NA,2014,January,Wednesday,9,Suicide-related,D51,No,No,168,Downtown Yonge East,75,Church-Yonge Corridor (75)
2,2,1253798,NA,2014,January,Wednesday,2,Person in Crisis,D41,No,No,124,Kennedy Park,124,Kennedy Park (124)
3,3,1256454,NA,2014,January,Wednesday,16,Suicide-related,D41,Yes,No,NSA,NSA,NSA,NSA
4,4,1253013,NA,2014,January,Wednesday,0,Suicide-related,D11,No,No,88,High Park North,88,High Park North (88)
5,5,1255486,NA,2014,January,Wednesday,12,Person in Crisis,D52,No,No,78,Kensington-Chinatown,78,Kensington-Chinatown (78)
6,6,1253841,NA,2014,January,Wednesday,3,Overdose,D11,No,No,87,High Park-Swansea,87,High Park-Swansea (87)
7,7,1256241,NA,2014,January,Wednesday,15,Suicide-related,D43,No,No,134,Highland Creek,134,Highland Creek (134)
8,8,1255961,NA,2014,January,Wednesday,14,Person in Crisis,D33,No,No,48,Hillcrest Village,48,Hillcrest Village (48)
9,9,1254641,NA,2014,January,Wednesday,7,Person in Crisis,D32,No,No,32,Englemount-Lawrence,32,Englemount-Lawrence (32)
10,10,1256427,NA,2014,January,Wednesday,16,Person in Crisis,D22,No,No,160,Mimico-Queensway,17,Mimico (includes Humber Bay Shores) (17)
11,11,1257103,NA,2014,January,Wednesday,19,Suicide-related,D23,No,No,6,Kingsview Village-The Westway,6,Kingsview Village-The Westway (6)
12,12,1254506,NA,2014,January,Wednesday,6,Overdose,D43,Yes,Yes,136,West Hill,136,West Hill (136)
13,13,1256052,NA,2014,January,Wednesday,15,Suicide-related,D14,No,No,79,University,79,University (79)
14,14,1253198,NA,2014,January,Wednesday,1,Suicide-related,D53,No,No,95,Annex,95,Annex (95)
15,15,1258014,NA,2014,January,Wednesday,23,Overdose,D22,Yes,No,159,Etobicoke City Centre,14,Islington-City Centre West (14)
16,16,1257677,NA,2014,January,Wednesday,22,Overdose,D22,Yes,No,158,Islington,14,Islington-City Centre West (14)
17,17,1254174,NA,2014,January,Wednesday,4,Overdose,D14,No,No,80,Palmerston-Little Italy,80,Palmerston-Little Italy (80)
18,18,1256445,NA,2014,January,Wednesday,16,Person in Crisis,D31,No,No,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25)
19,19,1257395,NA,2014,January,Wednesday,20,Person in Crisis,D51,No,No,73,Moss Park,73,Moss Park (73)
20,20,1257986,NA,2014,January,Wednesday,23,Suicide-related,D52,Yes,No,78,Kensington-Chinatown,78,Kensington-Chinatown (78)
21,21,1254526,NA,2014,January,Wednesday,6,Overdose,D53,No,No,169,Bay-Cloverhill,76,Bay Street Corridor (76)
22,22,1256379,NA,2014,January,Wednesday,16,Suicide-related,D54,No,No,59,Danforth East York,59,Danforth East York (59)
23,23,1253227,NA,2014,January,Wednesday,1,Suicide-related,D32,No,No,37,Willowdale West,37,Willowdale West (37)
24,24,1255414,NA,2014,January,Wednesday,12,Person in Crisis,D53,No,No,96,Casa Loma,96,Casa Loma (96)
25,25,1255191,NA,2014,January,Wednesday,11,Person in Crisis,D14,No,No,84,Little Portugal,84,Little Portugal (84)
26,26,1253860,NA,2014,January,Wednesday,3,Suicide-related,D51,No,No,72,Regent Park,72,Regent Park (72)
27,27,1254936,NA,2014,January,Wednesday,9,Person in Crisis,D22,Yes,No,158,Islington,14,Islington-City Centre West (14)
28,28,1255697,NA,2014,January,Wednesday,13,Person in Crisis,D11,No,No,171,Junction-Wallace Emerson,93,Dovercourt-Wallace Emerson-Junction (93)
29,29,1257130,NA,2014,January,Wednesday,19,Suicide-related,D42,Yes,Yes,143,West Rouge,131,Rouge (131)
30,30,1254254,NA,2014,January,Wednesday,4,Suicide-related,D32,Yes,No,36,Newtonbrook West,36,Newtonbrook West (36)
31,31,1254077,NA,2014,January,Wednesday,4,Person in Crisis,D54,No,No,54,O'Connor-Parkview,54,O'Connor-Parkview (54)
32,32,1257308,NA,2014,January,Wednesday,20,Person in Crisis,D13,No,No,31,Yorkdale-Glen Park,31,Yorkdale-Glen Park (31)
33,33,1254978,NA,2014,January,Wednesday,10,Person in Crisis,D51,No,No,73,Moss Park,73,Moss Park (73)
34,34,1254356,NA,2014,January,Wednesday,5,Suicide-related,D43,No,No,136,West Hill,136,West Hill (136)
35,35,1253204,NA,2014,January,Wednesday,1,Person in Crisis,D51,No,No,73,Moss Park,73,Moss Park (73)
36,36,1255264,NA,2014,January,Wednesday,11,Person in Crisis,D32,Yes,No,37,Willowdale West,37,Willowdale West (37)
37,37,1254313,NA,2014,January,Wednesday,5,Suicide-related,D32,Yes,No,36,Newtonbrook West,36,Newtonbrook West (36)
38,38,1254675,NA,2014,January,Wednesday,8,Person in Crisis,D32,No,No,151,Yonge-Doris,51,Willowdale East (51)
39,39,1255621,NA,2014,January,Wednesday,13,Suicide-related,D12,No,No,110,Keelesdale-Eglinton West,110,Keelesdale-Eglinton West (110)
40,40,1253685,NA,2014,January,Wednesday,2,Suicide-related,D51,No,No,170,Yonge-Bay Corridor,76,Bay Street Corridor (76)
41,41,1255151,NA,2014,January,Wednesday,10,Person in Crisis,D53,No,No,173,North Toronto,104,Mount Pleasant West (104)
42,42,1255020,NA,2014,January,Wednesday,10,Overdose,D53,No,No,98,Rosedale-Moore Park,98,Rosedale-Moore Park (98)
43,43,1253185,NA,2014,January,Wednesday,0,Suicide-related,D23,Yes,Yes,7,Willowridge-Martingrove-Richview,7,Willowridge-Martingrove-Richview (7)
44,44,1256447,NA,2014,January,Wednesday,16,Suicide-related,D54,Yes,No,58,Old East York,58,Old East York (58)
