objectid,event_dow,event_type,apprehension_made,hood_158_loc
1,Wednesday,Suicide-related,No,168
2,Wednesday,Person in Crisis,No,124
4,Wednesday,Suicide-related,No,88
5,Wednesday,Person in Crisis,No,78
6,Wednesday,Overdose,No,87
7,Wednesday,Suicide-related,No,134
8,Wednesday,Person in Crisis,No,48
9,Wednesday,Person in Crisis,No,32
10,Wednesday,Person in Crisis,No,160
11,Wednesday,Suicide-related,No,6
12,Wednesday,Overdose,Yes,136
13,Wednesday,Suicide-related,No,79
14,Wednesday,Suicide-related,No,95
15,Wednesday,Overdose,No,159
16,Wednesday,Overdose,No,158
17,Wednesday,Overdose,No,80
18,Wednesday,Person in Crisis,No,25
19,Wednesday,Person in Crisis,No,73
20,Wednesday,Suicide-related,No,78
21,Wednesday,Overdose,No,169
22,Wednesday,Suicide-related,No,59
23,Wednesday,Suicide-related,No,37
24,Wednesday,Person in Crisis,No,96
25,Wednesday,Person in Crisis,No,84
26,Wednesday,Suicide-related,No,72
27,Wednesday,Person in Crisis,No,158
28,Wednesday,Person in Crisis,No,171
29,Wednesday,Suicide-related,Yes,143
30,Wednesday,Suicide-related,No,36
31,Wednesday,Person in Crisis,No,54
32,Wednesday,Person in Crisis,No,31
33,Wednesday,Person in Crisis,No,73
34,Wednesday,Suicide-related,No,136
35,Wednesday,Person in Crisis,No,73
36,Wednesday,Person in Crisis,No,37
37,Wednesday,Suicide-related,No,36
38,Wednesday,Person in Crisis,No,151
39,Wednesday,Suicide-related,No,110
40,Wednesday,Suicide-related,No,170
41,Wednesday,Person in Crisis,No,173
42,Wednesday,Overdose,No,98
43,Wednesday,Suicide-related,Yes,7
44,Wednesday,Suicide-related,No,58
45,Wednesday,Person in Crisis,Yes,2
46,Wednesday,Person in Crisis,No,74
47,Wednesday,Suicide-related,Yes,171
48,Wednesday,Overdose,No,81
49,Wednesday,Suicide-related,No,71
50,Wednesday,Suicide-related,No,135
51,Wednesday,Suicide-related,Yes,73
52,Thursday,Overdose,Yes,38
53,Thursday,Person in Crisis,No,166
54,Thursday,Overdose,No,111
55,Thursday,Person in Crisis,No,129
56,Thursday,Person in Crisis,No,116
57,Thursday,Suicide-related,No,87
58,Thursday,Suicide-related,Yes,33
