objectid,event_year,event_month,event_dow,event_type
260290,2023,January,Sunday,Suicide-related
260291,2023,January,Sunday,Person in Crisis
260292,2023,January,Sunday,Suicide-related
260293,2023,January,Sunday,Suicide-related
260294,2023,January,Sunday,Suicide-related
260295,2023,January,Sunday,Person in Crisis
260296,2023,January,Sunday,Person in Crisis
260297,2023,January,Sunday,Suicide-related
260298,2023,January,Sunday,Person in Crisis
260299,2023,January,Sunday,Person in Crisis
260300,2023,January,Sunday,Suicide-related
260301,2023,January,Sunday,Overdose
260302,2023,January,Sunday,Suicide-related
260303,2023,January,Sunday,Person in Crisis
260304,2023,January,Sunday,Suicide-related
260305,2023,January,Sunday,Overdose
260306,2023,January,Sunday,Person in Crisis
260307,2023,January,Sunday,Overdose
260308,2023,January,Sunday,Suicide-related
260309,2023,January,Sunday,Suicide-related
260310,2023,January,Sunday,Person in Crisis
260311,2023,January,Sunday,Suicide-related
260312,2023,January,Sunday,Person in Crisis
260313,2023,January,Sunday,Person in Crisis
260314,2023,January,Sunday,Person in Crisis
260315,2023,January,Sunday,Person in Crisis
260316,2023,January,Sunday,Person in Crisis
260317,2023,January,Sunday,Person in Crisis
260318,2023,January,Sunday,Person in Crisis
260319,2023,January,Sunday,Suicide-related
260320,2023,January,Sunday,Person in Crisis
260321,2023,January,Sunday,Person in Crisis
260322,2023,January,Sunday,Suicide-related
260323,2023,January,Sunday,Suicide-related
260324,2023,January,Sunday,Suicide-related
260325,2023,January,Sunday,Person in Crisis
260326,2023,January,Sunday,Suicide-related
260327,2023,January,Sunday,Person in Crisis
260328,2023,January,Sunday,Suicide-related
260329,2023,January,Sunday,Overdose
260330,2023,January,Sunday,Person in Crisis
260331,2023,January,Sunday,Person in Crisis
260332,2023,January,Sunday,Person in Crisis
260333,2023,January,Sunday,Person in Crisis
260334,2023,January,Sunday,Suicide-related
260335,2023,January,Sunday,Suicide-related
260336,2023,January,Sunday,Person in Crisis
260337,2023,January,Sunday,Suicide-related
260338,2023,January,Sunday,Suicide-related
260339,2023,January,Sunday,Suicide-related
260340,2023,January,Sunday,Person in Crisis
260341,2023,January,Sunday,Overdose
260342,2023,January,Sunday,Suicide-related
260343,2023,January,Sunday,Person in Crisis
260344,2023,January,Sunday,Suicide-related
260345,2023,January,Sunday,Person in Crisis
260346,2023,January,Sunday,Person in Crisis
260347,2023,January,Sunday,Suicide-related
260348,2023,January,Sunday,Overdose
260349,2023,January,Sunday,Person in Crisis
260350,2023,January,Sunday,Suicide-related
260351,2023,January,Sunday,Suicide-related
260352,2023,January,Sunday,Suicide-related
260353,2023,January,Sunday,Suicide-related
260354,2023,January,Sunday,Suicide-related
260355,2023,January,Sunday,Suicide-related
260356,2023,January,Sunday,Suicide-related
260357,2023,January,Sunday,Suicide-related
260358,2023,January,Sunday,Suicide-related
260359,2023,January,Sunday,Overdose
260360,2023,January,Sunday,Person in Crisis
260361,2023,January,Sunday,Person in Crisis
260362,2023,January,Sunday,Suicide-related
260363,2023,January,Sunday,Person in Crisis
260364,2023,January,Sunday,Person in Crisis
260365,2023,January,Sunday,Person in Crisis
260366,2023,January,Sunday,Suicide-related
260367,2023,January,Sunday,Person in Crisis
260368,2023,January,Sunday,Person in Crisis
260369,2023,January,Sunday,Person in Crisis
260370,2023,January,Sunday,Person in Crisis
260371,2023,January,Sunday,Person in Crisis
260372,2023,January,Monday,Person in Crisis
260373,2023,January,Monday,Overdose
260374,2023,January,Monday,Person in Crisis
260375,2023,January,Monday,Overdose
260376,2023,January,Monday,Person in Crisis
260377,2023,January,Monday,Suicide-related
260378,2023,January,Monday,Person in Crisis
260379,2023,January,Monday,Suicide-related
260380,2023,January,Monday,Person in Crisis
260381,2023,January,Monday,Overdose
260382,2023,January,Monday,Overdose
260383,2023,January,Monday,Suicide-related
260384,2023,January,Monday,Suicide-related
260385,2023,January,Monday,Person in Crisis
260386,2023,January,Monday,Suicide-related
260387,2023,January,Monday,Overdose
260388,2023,January,Monday,Suicide-related
260389,2023,January,Monday,Person in Crisis
260390,2023,January,Monday,Suicide-related
260391,2023,January,Monday,Suicide-related
260392,2023,January,Monday,Overdose
260393,2023,January,Monday,Suicide-related
260394,2023,January,Monday,Person in Crisis
260395,2023,January,Monday,Suicide-related
260396,2023,January,Monday,Suicide-related
260397,2023,January,Monday,Person in Crisis
260398,2023,January,Monday,Person in Crisis
260399,2023,January,Monday,Person in Crisis
