objectid,event_type,hood_158_loc
1,Suicide-related,168
2,Person in Crisis,124
4,Suicide-related,88
5,Person in Crisis,78
6,Overdose,87
7,Suicide-related,134
8,Person in Crisis,48
9,Person in Crisis,32
10,Person in Crisis,160
11,Suicide-related,6
12,Overdose,136
13,Suicide-related,79
14,Suicide-related,95
15,Overdose,159
16,Overdose,158
17,Overdose,80
18,Person in Crisis,25
19,Person in Crisis,73
20,Suicide-related,78
21,Overdose,169
22,Suicide-related,59
23,Suicide-related,37
24,Person in Crisis,96
25,Person in Crisis,84
26,Suicide-related,72
27,Person in Crisis,158
28,Person in Crisis,171
29,Suicide-related,143
30,Suicide-related,36
31,Person in Crisis,54
32,Person in Crisis,31
33,Person in Crisis,73
34,Suicide-related,136
35,Person in Crisis,73
36,Person in Crisis,37
37,Suicide-related,36
38,Person in Crisis,151
39,Suicide-related,110
40,Suicide-related,170
41,Person in Crisis,173
42,Overdose,98
43,Suicide-related,7
44,Suicide-related,58
45,Person in Crisis,2
46,Person in Crisis,74
47,Suicide-related,171
48,Overdose,81
49,Suicide-related,71
50,Suicide-related,135
51,Suicide-related,73
52,Overdose,38
53,Person in Crisis,166
54,Overdose,111
55,Person in Crisis,129
56,Person in Crisis,116
57,Suicide-related,87
58,Suicide-related,33
59,Person in Crisis,154
60,Person in Crisis,50
61,Suicide-related,122
62,Person in Crisis,20
63,Suicide-related,122
64,Person in Crisis,81
65,Person in Crisis,98
66,Person in Crisis,170
67,Person in Crisis,122
68,Suicide-related,113
69,Person in Crisis,78
70,Suicide-related,166
71,Person in Crisis,63
72,Person in Crisis,32
73,Suicide-related,118
74,Suicide-related,170
75,Person in Crisis,8
76,Person in Crisis,123
77,Suicide-related,61
78,Person in Crisis,70
79,Person in Crisis,85
80,Suicide-related,120
81,Person in Crisis,85
82,Person in Crisis,108
83,Suicide-related,155
84,Person in Crisis,166
85,Suicide-related,1
86,Person in Crisis,68
87,Person in Crisis,88
88,Overdose,69
89,Person in Crisis,126
90,Person in Crisis,63
91,Suicide-related,16
92,Person in Crisis,170
93,Overdose,86
94,Person in Crisis,169
95,Person in Crisis,122
96,Suicide-related,129
97,Suicide-related,90
98,Suicide-related,57
99,Person in Crisis,126
100,Suicide-related,16
101,Person in Crisis,122
102,Person in Crisis,89
103,Person in Crisis,169
104,Person in Crisis,68
105,Person in Crisis,163
106,Suicide-related,159
107,Person in Crisis,129
108,Suicide-related,73
