objectid,event_type,hood_158
1,Suicide-related,168
4,Suicide-related,88
7,Suicide-related,134
11,Suicide-related,6
13,Suicide-related,79
14,Suicide-related,95
20,Suicide-related,78
22,Suicide-related,59
23,Suicide-related,37
26,Suicide-related,72
29,Suicide-related,143
30,Suicide-related,36
34,Suicide-related,136
37,Suicide-related,36
39,Suicide-related,110
40,Suicide-related,170
43,Suicide-related,7
44,Suicide-related,58
47,Suicide-related,171
49,Suicide-related,71
50,Suicide-related,135
51,Suicide-related,73
57,Suicide-related,87
58,Suicide-related,33
61,Suicide-related,122
63,Suicide-related,122
68,Suicide-related,113
70,Suicide-related,166
73,Suicide-related,118
74,Suicide-related,170
77,Suicide-related,61
80,Suicide-related,120
83,Suicide-related,155
85,Suicide-related,1
91,Suicide-related,16
96,Suicide-related,129
97,Suicide-related,90
98,Suicide-related,57
100,Suicide-related,16
106,Suicide-related,159
108,Suicide-related,73
110,Suicide-related,87
111,Suicide-related,166
112,Suicide-related,171
115,Suicide-related,39
118,Suicide-related,80
119,Suicide-related,113
122,Suicide-related,170
125,Suicide-related,57
131,Suicide-related,174
133,Suicide-related,174
134,Suicide-related,136
143,Suicide-related,164
145,Suicide-related,1
146,Suicide-related,74
147,Suicide-related,172
148,Suicide-related,122
149,Suicide-related,118
153,Suicide-related,53
157,Suicide-related,170
161,Suicide-related,27
164,Suicide-related,174
166,Suicide-related,170
167,Suicide-related,43
173,Suicide-related,140
181,Suicide-related,89
183,Suicide-related,22
185,Suicide-related,155
189,Suicide-related,134
201,Suicide-related,124
202,Suicide-related,142
206,Suicide-related,90
208,Suicide-related,66
214,Suicide-related,22
217,Suicide-related,35
218,Suicide-related,97
223,Suicide-related,95
232,Suicide-related,79
241,Suicide-related,136
252,Suicide-related,135
258,Suicide-related,27
259,Suicide-related,113
262,Suicide-related,90
265,Suicide-related,168
268,Suicide-related,79
270,Suicide-related,6
272,Suicide-related,70
280,Suicide-related,98
281,Suicide-related,84
283,Suicide-related,5
284,Suicide-related,10
285,Suicide-related,167
286,Suicide-related,78
289,Suicide-related,6
291,Suicide-related,42
293,Suicide-related,81
294,Suicide-related,96
295,Suicide-related,136
296,Suicide-related,85
297,Suicide-related,5
303,Suicide-related,87
304,Suicide-related,155
307,Suicide-related,146
308,Suicide-related,73
309,Suicide-related,109
312,Suicide-related,107
313,Suicide-related,79
320,Suicide-related,74
321,Suicide-related,95
322,Suicide-related,35
323,Suicide-related,135
326,Suicide-related,70
329,Suicide-related,87
330,Suicide-related,135
338,Suicide-related,105
342,Suicide-related,81
343,Suicide-related,24
346,Suicide-related,95
363,Suicide-related,65
365,Suicide-related,147
366,Suicide-related,47
368,Suicide-related,63
371,Suicide-related,125
372,Suicide-related,73
373,Suicide-related,81
377,Suicide-related,110
381,Suicide-related,158
384,Suicide-related,59
385,Suicide-related,39
386,Suicide-related,68
389,Suicide-related,128
391,Suicide-related,85
392,Suicide-related,159
394,Suicide-related,33
399,Suicide-related,70
400,Suicide-related,71
401,Suicide-related,68
402,Suicide-related,120
409,Suicide-related,111
412,Suicide-related,78
415,Suicide-related,158
418,Suicide-related,85
423,Suicide-related,62
426,Suicide-related,168
427,Suicide-related,90
429,Suicide-related,43
430,Suicide-related,88
434,Suicide-related,43
436,Suicide-related,39
437,Suicide-related,64
438,Suicide-related,78
441,Suicide-related,48
445,Suicide-related,41
446,Suicide-related,166
447,Suicide-related,170
455,Suicide-related,159
458,Suicide-related,71
459,Suicide-related,174
460,Suicide-related,34
462,Suicide-related,106
469,Suicide-related,53
470,Suicide-related,168
474,Suicide-related,124
480,Suicide-related,124
481,Suicide-related,95
484,Suicide-related,164
490,Suicide-related,168
494,Suicide-related,24
500,Suicide-related,166
506,Suicide-related,38
508,Suicide-related,170
509,Suicide-related,59
513,Suicide-related,129
517,Suicide-related,120
519,Suicide-related,150
520,Suicide-related,168
521,Suicide-related,81
525,Suicide-related,74
535,Suicide-related,158
536,Suicide-related,67
546,Suicide-related,124
551,Suicide-related,87
554,Suicide-related,66
559,Suicide-related,3
561,Suicide-related,33
565,Suicide-related,7
566,Suicide-related,143
569,Suicide-related,170
570,Suicide-related,61
573,Suicide-related,141
574,Suicide-related,100
575,Suicide-related,80
579,Suicide-related,25
581,Suicide-related,79
582,Suicide-related,16
583,Suicide-related,83
587,Suicide-related,65
590,Suicide-related,130
591,Suicide-related,119
596,Suicide-related,142
600,Suicide-related,81
602,Suicide-related,52
605,Suicide-related,20
610,Suicide-related,95
611,Suicide-related,109
617,Suicide-related,124
620,Suicide-related,145
622,Suicide-related,159
629,Suicide-related,68
632,Suicide-related,95
637,Suicide-related,29
639,Suicide-related,54
640,Suicide-related,37
641,Suicide-related,141
644,Suicide-related,42
645,Suicide-related,79
647,Suicide-related,155
648,Suicide-related,166
650,Suicide-related,142
653,Suicide-related,167
663,Suicide-related,123
666,Suicide-related,30
667,Suicide-related,100
669,Suicide-related,78
672,Suicide-related,8
673,Suicide-related,138
679,Suicide-related,105
680,Suicide-related,90
686,Suicide-related,143
688,Suicide-related,25
695,Suicide-related,83
696,Suicide-related,24
698,Suicide-related,73
700,Suicide-related,160
701,Suicide-related,95
703,Suicide-related,156
708,Suicide-related,174
710,Suicide-related,174
716,Suicide-related,165
720,Suicide-related,52
725,Suicide-related,107
726,Suicide-related,168
729,Suicide-related,74
730,Suicide-related,150
733,Suicide-related,31
734,Suicide-related,160
735,Suicide-related,6
737,Suicide-related,1
746,Suicide-related,95
747,Suicide-related,155
751,Suicide-related,44
755,Suicide-related,112
758,Suicide-related,54
761,Suicide-related,56
765,Suicide-related,90
767,Suicide-related,172
769,Suicide-related,156
770,Suicide-related,174
774,Suicide-related,31
778,Suicide-related,43
781,Suicide-related,154
784,Suicide-related,39
785,Suicide-related,94
787,Suicide-related,106
795,Suicide-related,90
797,Suicide-related,162
801,Suicide-related,141
804,Suicide-related,70
805,Suicide-related,145
809,Suicide-related,59
813,Suicide-related,61
817,Suicide-related,166
819,Suicide-related,39
823,Suicide-related,74
824,Suicide-related,124
825,Suicide-related,106
827,Suicide-related,164
828,Suicide-related,73
829,Suicide-related,138
832,Suicide-related,68
836,Suicide-related,95
839,Suicide-related,159
843,Suicide-related,1
844,Suicide-related,170
845,Suicide-related,123
860,Suicide-related,146
861,Suicide-related,170
862,Suicide-related,168
864,Suicide-related,171
866,Suicide-related,70
869,Suicide-related,113
878,Suicide-related,174
879,Suicide-related,74
883,Suicide-related,139
890,Suicide-related,160
898,Suicide-related,79
900,Suicide-related,98
901,Suicide-related,124
904,Suicide-related,92
913,Suicide-related,156
917,Suicide-related,27
920,Suicide-related,100
921,Suicide-related,124
924,Suicide-related,18
926,Suicide-related,16
933,Suicide-related,90
942,Suicide-related,163
945,Suicide-related,166
949,Suicide-related,151
950,Suicide-related,27
952,Suicide-related,85
955,Suicide-related,87
957,Suicide-related,66
962,Suicide-related,2
968,Suicide-related,70
977,Suicide-related,30
981,Suicide-related,141
982,Suicide-related,102
983,Suicide-related,95
984,Suicide-related,172
986,Suicide-related,169
989,Suicide-related,2
993,Suicide-related,19
994,Suicide-related,40
998,Suicide-related,95
999,Suicide-related,162
1000,Suicide-related,54
1012,Suicide-related,140
1016,Suicide-related,27
1021,Suicide-related,72
1022,Suicide-related,70
1025,Suicide-related,2
1028,Suicide-related,123
1030,Suicide-related,168
1033,Suicide-related,170
1038,Suicide-related,164
1041,Suicide-related,170
1045,Suicide-related,38
1046,Suicide-related,19
1050,Suicide-related,158
1054,Suicide-related,84
1055,Suicide-related,30
1061,Suicide-related,78
1063,Suicide-related,87
1064,Suicide-related,159
1069,Suicide-related,96
1072,Suicide-related,119
1075,Suicide-related,20
1081,Suicide-related,98
1087,Suicide-related,110
1089,Suicide-related,63
1091,Suicide-related,163
1092,Suicide-related,163
1097,Suicide-related,143
1101,Suicide-related,121
1104,Suicide-related,69
1107,Suicide-related,166
1110,Suicide-related,122
1111,Suicide-related,158
1117,Suicide-related,159
1118,Suicide-related,85
1124,Suicide-related,25
1126,Suicide-related,21
1128,Suicide-related,168
1130,Suicide-related,83
1131,Suicide-related,166
1139,Suicide-related,174
1143,Suicide-related,87
1144,Suicide-related,167
1151,Suicide-related,42
1153,Suicide-related,154
1154,Suicide-related,124
1157,Suicide-related,80
1159,Suicide-related,168
1161,Suicide-related,43
1163,Suicide-related,110
1166,Suicide-related,1
1167,Suicide-related,99
1171,Suicide-related,171
1188,Suicide-related,21
1194,Suicide-related,156
1199,Suicide-related,59
1200,Suicide-related,24
1203,Suicide-related,73
1208,Suicide-related,147
1212,Suicide-related,166
1215,Suicide-related,140
1216,Suicide-related,69
1217,Suicide-related,168
1226,Suicide-related,155
1227,Suicide-related,43
1229,Suicide-related,135
1234,Suicide-related,164
1238,Suicide-related,121
1241,Suicide-related,172
1242,Suicide-related,142
1244,Suicide-related,27
1246,Suicide-related,168
1248,Suicide-related,54
1249,Suicide-related,164
1250,Suicide-related,65
1255,Suicide-related,115
1257,Suicide-related,81
1259,Suicide-related,78
1262,Suicide-related,50
1266,Suicide-related,73
1273,Suicide-related,27
1276,Suicide-related,171
1277,Suicide-related,138
1282,Suicide-related,65
1283,Suicide-related,112
1287,Suicide-related,79
1288,Suicide-related,39
1290,Suicide-related,59
1304,Suicide-related,170
1306,Suicide-related,1
1311,Suicide-related,18
1314,Suicide-related,52
1317,Suicide-related,3
1319,Suicide-related,153
1322,Suicide-related,168
1323,Suicide-related,54
1326,Suicide-related,8
1327,Suicide-related,135
1328,Suicide-related,170
1329,Suicide-related,73
1333,Suicide-related,111
1334,Suicide-related,37
1343,Suicide-related,58
1354,Suicide-related,47
1355,Suicide-related,80
1359,Suicide-related,87
1360,Suicide-related,33
1362,Suicide-related,71
1369,Suicide-related,142
1372,Suicide-related,111
1374,Suicide-related,24
1375,Suicide-related,136
1386,Suicide-related,23
1389,Suicide-related,65
1394,Suicide-related,170
1401,Suicide-related,50
1403,Suicide-related,142
1408,Suicide-related,155
1410,Suicide-related,73
1418,Suicide-related,156
1420,Suicide-related,133
1425,Suicide-related,31
