objectid,event_month,event_dow,event_hour,event_type
1,January,Wednesday,9,Suicide-related
3,January,Wednesday,16,Suicide-related
4,January,Wednesday,0,Suicide-related
7,January,Wednesday,15,Suicide-related
11,January,Wednesday,19,Suicide-related
13,January,Wednesday,15,Suicide-related
14,January,Wednesday,1,Suicide-related
20,January,Wednesday,23,Suicide-related
22,January,Wednesday,16,Suicide-related
23,January,Wednesday,1,Suicide-related
26,January,Wednesday,3,Suicide-related
29,January,Wednesday,19,Suicide-related
30,January,Wednesday,4,Suicide-related
34,January,Wednesday,5,Suicide-related
37,January,Wednesday,5,Suicide-related
39,January,Wednesday,13,Suicide-related
40,January,Wednesday,2,Suicide-related
43,January,Wednesday,0,Suicide-related
44,January,Wednesday,16,Suicide-related
47,January,Wednesday,11,Suicide-related
49,January,Wednesday,4,Suicide-related
50,January,Wednesday,2,Suicide-related
51,January,Wednesday,1,Suicide-related
57,January,Thursday,19,Suicide-related
58,January,Thursday,14,Suicide-related
61,January,Thursday,19,Suicide-related
63,January,Thursday,19,Suicide-related
68,January,Thursday,12,Suicide-related
70,January,Thursday,21,Suicide-related
73,January,Thursday,16,Suicide-related
74,January,Thursday,20,Suicide-related
77,January,Thursday,0,Suicide-related
80,January,Thursday,7,Suicide-related
83,January,Thursday,23,Suicide-related
85,January,Thursday,13,Suicide-related
91,January,Thursday,14,Suicide-related
96,January,Thursday,12,Suicide-related
97,January,Thursday,10,Suicide-related
98,January,Thursday,22,Suicide-related
100,January,Thursday,16,Suicide-related
106,January,Friday,18,Suicide-related
108,January,Friday,11,Suicide-related
110,January,Friday,18,Suicide-related
111,January,Friday,11,Suicide-related
112,January,Friday,18,Suicide-related
115,January,Friday,11,Suicide-related
118,January,Friday,11,Suicide-related
119,January,Friday,11,Suicide-related
122,January,Friday,18,Suicide-related
125,January,Friday,23,Suicide-related
131,January,Friday,11,Suicide-related
133,January,Friday,20,Suicide-related
134,January,Friday,7,Suicide-related
143,January,Friday,19,Suicide-related
145,January,Friday,23,Suicide-related
146,January,Saturday,18,Suicide-related
147,January,Saturday,12,Suicide-related
148,January,Saturday,17,Suicide-related
149,January,Saturday,11,Suicide-related
153,January,Saturday,18,Suicide-related
157,January,Saturday,2,Suicide-related
161,January,Saturday,1,Suicide-related
164,January,Saturday,3,Suicide-related
166,January,Saturday,19,Suicide-related
167,January,Saturday,11,Suicide-related
173,January,Saturday,10,Suicide-related
181,January,Saturday,17,Suicide-related
183,January,Saturday,13,Suicide-related
185,January,Saturday,22,Suicide-related
189,January,Saturday,22,Suicide-related
201,January,Sunday,1,Suicide-related
202,January,Sunday,6,Suicide-related
206,January,Sunday,19,Suicide-related
208,January,Sunday,22,Suicide-related
214,January,Sunday,8,Suicide-related
217,January,Sunday,21,Suicide-related
218,January,Sunday,16,Suicide-related
223,January,Sunday,19,Suicide-related
232,January,Sunday,0,Suicide-related
241,January,Monday,22,Suicide-related
252,January,Monday,12,Suicide-related
258,January,Monday,10,Suicide-related
259,January,Monday,17,Suicide-related
262,January,Monday,1,Suicide-related
265,January,Monday,1,Suicide-related
268,January,Monday,18,Suicide-related
270,January,Monday,1,Suicide-related
272,January,Monday,20,Suicide-related
280,January,Monday,9,Suicide-related
